user_id,product_id,rating,timestamp
684,203,4,2023-01-03 22:27:00
270,148,4,2023-01-04 05:56:00
992,325,5,2023-01-01 13:20:00
86,495,5,2023-01-03 13:11:00
749,253,1,2023-01-03 21:53:00
433,442,5,2023-01-03 01:28:00
477,470,3,2023-01-04 07:53:00
243,229,2,2023-01-04 00:48:00
362,101,5,2023-01-02 22:16:00
597,258,4,2023-01-03 01:30:00
212,81,5,2023-01-03 16:27:00
51,410,1,2023-01-02 05:03:00
38,252,3,2023-01-03 17:48:00
294,68,3,2023-01-03 15:22:00
193,116,1,2023-01-02 09:44:00
567,454,3,2023-01-02 13:54:00
80,242,2,2023-01-01 01:39:00
266,187,2,2023-01-04 10:01:00
7,269,5,2023-01-03 08:47:00
269,9,1,2023-01-03 22:45:00
34,231,3,2023-01-04 04:59:00
543,219,3,2023-01-04 09:56:00
63,305,4,2023-01-01 03:11:00
90,142,1,2023-01-04 06:16:00
573,148,1,2023-01-02 05:44:00
119,447,3,2023-01-02 01:32:00
444,388,4,2023-01-02 23:14:00
394,100,4,2023-01-04 02:04:00
801,60,5,2023-01-04 09:55:00
763,388,4,2023-01-02 02:38:00
370,222,3,2023-01-02 05:39:00
487,243,1,2023-01-04 09:40:00
959,63,1,2023-01-02 18:54:00
393,368,1,2023-01-03 08:38:00
36,67,2,2023-01-03 18:15:00
620,339,2,2023-01-03 14:50:00
392,419,3,2023-01-01 02:46:00
848,211,2,2023-01-02 05:11:00
17,52,1,2023-01-02 00:39:00
965,383,5,2023-01-01 17:04:00
637,186,3,2023-01-02 05:48:00
450,49,5,2023-01-02 13:44:00
110,39,5,2023-01-02 17:13:00
908,434,3,2023-01-02 06:22:00
530,56,2,2023-01-01 20:20:00
914,388,4,2023-01-02 03:46:00
504,405,5,2023-01-03 01:20:00
596,326,5,2023-01-01 02:32:00
701,130,3,2023-01-02 18:14:00
94,230,4,2023-01-04 06:08:00
39,52,1,2023-01-02 08:58:00
935,457,2,2023-01-02 00:29:00
697,297,5,2023-01-02 22:47:00
503,315,1,2023-01-02 17:52:00
862,474,1,2023-01-03 01:03:00
352,107,1,2023-01-03 01:40:00
441,64,2,2023-01-04 08:22:00
782,405,2,2023-01-03 02:17:00
408,443,3,2023-01-02 02:06:00
383,300,5,2023-01-01 00:31:00
308,70,5,2023-01-01 15:37:00
307,395,1,2023-01-01 20:15:00
470,315,2,2023-01-02 08:17:00
165,186,3,2023-01-01 18:49:00
671,444,2,2023-01-01 05:09:00
620,61,3,2023-01-04 09:41:00
466,335,2,2023-01-02 12:08:00
236,454,2,2023-01-03 03:53:00
155,5,1,2023-01-01 08:15:00
552,349,1,2023-01-01 03:25:00
962,213,2,2023-01-02 20:33:00
281,54,1,2023-01-03 07:57:00
260,333,1,2023-01-03 15:50:00
204,9,1,2023-01-01 05:05:00
249,500,1,2023-01-03 15:13:00
914,429,2,2023-01-02 12:41:00
560,159,1,2023-01-01 17:41:00
360,233,3,2023-01-01 14:03:00
825,231,3,2023-01-03 16:32:00
579,86,2,2023-01-02 13:31:00
918,75,1,2023-01-01 03:31:00
205,223,5,2023-01-03 18:37:00
601,38,3,2023-01-01 11:19:00
940,109,2,2023-01-01 09:25:00
301,180,5,2023-01-03 06:50:00
872,89,4,2023-01-04 00:34:00
222,261,3,2023-01-01 11:20:00
392,402,5,2023-01-01 03:00:00
344,66,5,2023-01-03 23:19:00
460,224,3,2023-01-02 17:35:00
83,229,1,2023-01-02 14:36:00
354,37,1,2023-01-03 23:13:00
850,480,5,2023-01-01 04:38:00
202,284,4,2023-01-03 13:23:00
800,266,3,2023-01-04 07:22:00
134,156,1,2023-01-01 07:12:00
40,1,1,2023-01-01 04:49:00
561,468,5,2023-01-01 17:07:00
828,490,3,2023-01-01 08:55:00
720,70,5,2023-01-03 12:31:00
202,471,1,2023-01-01 03:08:00
935,365,2,2023-01-02 12:14:00
948,58,3,2023-01-03 17:15:00
260,62,2,2023-01-02 07:02:00
894,27,4,2023-01-01 04:30:00
207,264,5,2023-01-02 04:48:00
32,338,3,2023-01-03 19:55:00
818,256,3,2023-01-02 11:57:00
652,115,2,2023-01-03 17:31:00
153,17,5,2023-01-01 01:51:00
395,472,2,2023-01-02 15:44:00
652,81,5,2023-01-01 03:40:00
699,491,4,2023-01-01 10:27:00
118,310,4,2023-01-01 19:41:00
587,443,3,2023-01-03 08:21:00
485,444,5,2023-01-02 16:22:00
559,318,2,2023-01-01 13:10:00
481,35,4,2023-01-03 23:15:00
21,370,2,2023-01-01 07:41:00
682,21,5,2023-01-04 01:22:00
948,233,1,2023-01-01 09:11:00
713,498,2,2023-01-03 04:09:00
175,31,5,2023-01-02 00:04:00
426,34,2,2023-01-01 03:18:00
774,233,4,2023-01-02 19:09:00
