user_id,product_id,rating,timestamp
85,385,5,2023-01-01 00:00:00
458,425,1,2023-01-01 00:01:00
563,3,4,2023-01-01 00:02:00
261,280,2,2023-01-01 00:03:00
938,12,4,2023-01-01 00:04:00
70,73,1,2023-01-01 00:05:00
606,476,4,2023-01-01 00:06:00
668,95,1,2023-01-01 00:07:00
158,479,1,2023-01-01 00:08:00
548,467,5,2023-01-01 00:09:00
511,436,1,2023-01-01 00:10:00
185,498,5,2023-01-01 00:11:00
868,245,4,2023-01-01 00:12:00
878,140,2,2023-01-01 00:13:00
377,395,1,2023-01-01 00:14:00
977,368,1,2023-01-01 00:15:00
66,152,1,2023-01-01 00:16:00
684,142,4,2023-01-01 00:17:00
685,99,2,2023-01-01 00:18:00
444,75,5,2023-01-01 00:19:00
819,371,5,2023-01-01 00:20:00
886,143,5,2023-01-01 00:21:00
316,452,2,2023-01-01 00:22:00
505,229,5,2023-01-01 00:23:00
550,257,1,2023-01-01 00:24:00
476,161,3,2023-01-01 00:25:00
569,336,5,2023-01-01 00:26:00
173,25,1,2023-01-01 00:27:00
148,366,4,2023-01-01 00:28:00
540,159,1,2023-01-01 00:29:00
615,80,2,2023-01-01 00:30:00
383,300,5,2023-01-01 00:31:00
963,488,5,2023-01-01 00:32:00
986,157,4,2023-01-01 00:33:00
435,269,4,2023-01-01 00:34:00
591,291,2,2023-01-01 00:35:00
841,347,4,2023-01-01 00:36:00
2,496,2,2023-01-01 00:37:00
178,26,1,2023-01-01 00:38:00
705,269,3,2023-01-01 00:39:00
817,236,5,2023-01-01 00:40:00
280,10,2,2023-01-01 00:41:00
357,409,3,2023-01-01 00:42:00
124,117,5,2023-01-01 00:43:00
911,91,3,2023-01-01 00:44:00
291,292,2,2023-01-01 00:45:00
946,168,2,2023-01-01 00:46:00
452,98,1,2023-01-01 00:47:00
481,110,4,2023-01-01 00:48:00
916,371,5,2023-01-01 00:49:00
406,379,4,2023-01-01 00:50:00
536,468,1,2023-01-01 00:51:00
346,261,1,2023-01-01 00:52:00
67,461,1,2023-01-01 00:53:00
793,498,3,2023-01-01 00:54:00
103,114,2,2023-01-01 00:55:00
726,398,4,2023-01-01 00:56:00
836,380,2,2023-01-01 00:57:00
139,132,4,2023-01-01 00:58:00
564,1,4,2023-01-01 00:59:00
550,374,2,2023-01-01 01:00:00
549,84,3,2023-01-01 01:01:00
205,249,2,2023-01-01 01:02:00
982,395,2,2023-01-01 01:03:00
114,393,4,2023-01-01 01:04:00
164,225,4,2023-01-01 01:05:00
581,15,5,2023-01-01 01:06:00
801,109,3,2023-01-01 01:07:00
473,296,4,2023-01-01 01:08:00
321,44,1,2023-01-01 01:09:00
531,382,2,2023-01-01 01:10:00
474,20,5,2023-01-01 01:11:00
713,381,5,2023-01-01 01:12:00
536,53,1,2023-01-01 01:13:00
893,394,2,2023-01-01 01:14:00
595,80,4,2023-01-01 01:15:00
423,391,3,2023-01-01 01:16:00
533,165,2,2023-01-01 01:17:00
439,318,4,2023-01-01 01:18:00
926,289,2,2023-01-01 01:19:00
454,362,1,2023-01-01 01:20:00
633,268,3,2023-01-01 01:21:00
888,116,2,2023-01-01 01:22:00
182,374,5,2023-01-01 01:23:00
313,161,1,2023-01-01 01:24:00
78,500,1,2023-01-01 01:25:00
747,437,2,2023-01-01 01:26:00
856,275,2,2023-01-01 01:27:00
288,281,5,2023-01-01 01:28:00
703,15,2,2023-01-01 01:29:00
458,247,3,2023-01-01 01:30:00
25,417,1,2023-01-01 01:31:00
382,48,3,2023-01-01 01:32:00
532,7,1,2023-01-01 01:33:00
502,496,5,2023-01-01 01:34:00
769,383,1,2023-01-01 01:35:00
906,219,1,2023-01-01 01:36:00
251,258,5,2023-01-01 01:37:00
20,354,4,2023-01-01 01:38:00
80,242,2,2023-01-01 01:39:00
450,396,1,2023-01-01 01:40:00
